X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
6429431.46844462,1876942.03149736,1533,211,,Social Services,Homeless Shelters and Services,,,Jewish Family Service Of Los Angeles - Family Violence Project,13949 Ventura Blvd.,,Sherman Oaks,CA,,"Administrative (818) 789-1293, 24 Hr. Hotline and Main Intake Service/Intake and Hotline (818) 505-0900, 24 Hour Service/Intake and Hotline (310) 858-9344,  FAX (818) 789-7581",,www.jfsla.org,,,1353,"The project provides domestic violence services, shelter and welfare-to-work support services for victims of domestic violence.",91423,http://egis3.lacounty.gov/lms/?p=1353,publish,34.149138,-118.437066,2017/10/30 15:24:54+00,,6429431.46844456,1876942.03149731
6469043.93383895,1888479.2357851,1558,211,,Social Services,Homeless Shelters and Services,,www.salvationarmy-socal.org,Salvation Army Corps Community Center - Burbank,300 E. Angeleno,,Burbank,CA,,"FAX (818) 845-7274,  Service/Intake (818) 845-7214",,www.salvationarmy-socal.org,,,1360,"This agency provides counseling services, emergency food, holiday assistance, recreational programs and utility bill assistance for families, couples, and individuals who live in Burbank, North Hollywood, Sun Valley, Sunland and Tujunga.",91502,http://egis3.lacounty.gov/lms/?p=1360,publish,34.181243,-118.306259,2013/06/01 11:50:56+00,,6469043.93383889,1888479.23578507
6552718.59522945,1853504.0832946,1569,211,,Social Services,Homeless Shelters and Services,,www.oursaviourcenter.org,Our Saviour Center,4368 Santa Anita Ave.,,El Monte,CA,"Monday through Friday, 9:00am to 5:00pm. ","FAX (626) 579-2689, Family Planning Service/Intake (626) 579-0290 Ext.100, Administration Service/Intake (626) 579-2190 Ext.116, Shelter Service/Intake (626) 579-0290 Ext.127, Clinic Service/Intake (626) 579-2190 Ext.100,  Service/Intake (626) 579-0290, Y",,www.oursaviourcenter.org,,,1364,"This center provides, emergency food, family planning, health services, recreational programs, and shelter for low-income people who live in El Monte and South El Monte.",91731,http://egis3.lacounty.gov/lms/?p=1364,publish,34.08552,-118.029564,2013/06/01 11:50:56+00,,6552718.59522939,1853504.08329456
6486918.56049119,1837868.1066926,1869,211,,Social Services,Homeless Shelters and Services,,www.lampcommunity.org,Lamp Community - Frank Rice Access Center,627 San Julian St.,,Los Angeles,CA,"Monday through Friday, 8:00am to 4:00pm. ","Administrative (213) 488-9559,  Service/Intake (213) 488-0031",,www.lampcommunity.org,,,2023,"The agency provides homeless support services and shelter for adults who have chronic mental illness and who are in Skid Row and downtown Los Angeles, including people who are undocumented or who have developmental disabilities or a dual diagnosis of mental illness and substance abuse.",90014,http://egis3.lacounty.gov/lms/?p=2023,publish,34.042306,-118.246748,2013/06/01 11:50:56+00,,6486918.56049113,1837868.10669257
6551487.00779761,1813589.03090702,2169,211,,Social Services,Homeless Shelters and Services,,NULL,Women's And Children's Crisis Shelter,13305 Penn St,,Whittier,CA,"Monday through Sunday, 24 hours per day. ","Administrative (562) 945-3937,  Service/Intake and Hotline (562) 945-3939",,,,,2460,The agency provides domestic violence services for low-income victims of intimate partner domestic violence and their children from all areas of Los Angeles County.,90602,http://egis3.lacounty.gov/lms/?p=2460,publish,33.97583807,-118.0335874,2013/06/01 11:50:56+00,,6551487.00779755,1813589.03090698
6478739.5414162,1847233.48625576,2239,211,,Social Services,Homeless Shelters and Services,,Homeless Health Care Los Angeles,Homeless Health Care Los Angeles,2330 Beverly Blvd.,,Los Angeles,CA,"Monday, Wednesday, 8:00am to 7:30pm; Tuesday, Thursday, Friday, 8:00am to 5:00pm","I and R/Needle Exchange/Drug Treatment/Training Service/Intake and Administration (213) 744-0724, Needle Exchange Service/Intake (213) 617-8408,  FAX (213) 746-2432, CASC/Drug and Mental Health Assessment Service/Intake (213) 342-3114
",,www.hhcla.org,,,2515,"The agency provides education services, substance abuse services for co-occuring disorders, and welfare-to-work support services for homeless people in downtown Los Angeles and for agencies that work with homeless individuals in Los Angeles County.",90057,http://egis3.lacounty.gov/lms/?p=2515,publish,34.06798248,-118.2738302,2013/05/29 18:10:36+00,,6478739.54141614,1847233.48625572
6487694.42278461,1838258.73320794,2989,211,,Social Services,Homeless Shelters and Services,,www.lampcommunity.org,Lamp Community,526 S San Pedro St,,Los Angeles,CA,,"Service/Intake (213) 488-0031,  Service/Intake and Administration (213) 488-9559,  FAX (213) 270-9060",,www.lampcommunity.org,,,3156,"The agency provides homeless support services and shelter for adults who have chronic mental illness and who are in Skid Row and downtown Los Angeles, including people who are undocumented or who have developmental disabilities or a dual diagnosis of mental illness and substance abuse.",90013,http://egis3.lacounty.gov/lms/?p=3156,publish,34.04338459,-118.2441901,2017/10/16 14:57:24+00,,6487694.42278455,1838258.7332079
6518726.66780661,1879711.20935793,3290,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,Door Of Hope,669 N. Los Robles Ave.,,Pasadena,CA,"Monday through Sunday, 24 hours per day.",,,www.doorofhope.us,,,4100,The Agency Provides Christian-Oriented Transitional Housing For Two-Parent Families With Up To Four Children 10 Years And Younger.  Families Must Be Highly-Motivated To Improve Their Situation And To Become Self-Sufficient.  There Are No Geographic Restr,91101,http://egis3.lacounty.gov/lms/?p=4100,publish,34.15745402,-118.1419479,2010/11/01 19:50:56+00,,6518726.66780655,1879711.20935789
6505142.68217936,1830100.2127796,3292,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,Scadp - Casa Libre Residential Services,1055 S. Eastman Ave.,,Los Angeles,CA,,,,www.scadp.org,,,4102,"The Agency Provides Domestic Violence Services Targeted To Tanf Recipients, Hiv/Aids. Services, Residential Treatment For Substance Abuse,Substance Abuse Services And Youth Services For People Of All Ages In Los Angeles County.",90023,http://egis3.lacounty.gov/lms/?p=4102,publish,34.02106891,-118.1865446,2010/11/01 19:50:56+00,,6505142.6821793,1830100.21277957
6474080.68852919,1727659.22507669,3293,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,Wecan House,505 S. Pacific Ave.,,San Pedro,CA,,,,www.jointefforts.org,,,4103,"The Agency Provides Drug Abuse Services, Family Life Education, A Transitional Shelter, And Welfare-To-Work Support Services To People In The South Bay, Harbor Gateway And Long Beach Areas.  Age And Geographic Restrictions Apply For Some Services.",90731,http://egis3.lacounty.gov/lms/?p=4103,publish,33.73937844,-118.2880817,2010/11/01 19:50:56+00,,6474080.68852913,1727659.22507665
6523956.68949878,1876937.20834427,3297,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,"Serra Project, The",1245 E. Walnut St.,Ste. 106,Pasadena,CA,,,,www.serraproject.org,,,4107,The Agency Provides Housing Services And Transitional Shelter For Men And Women With Children Who Have Aids. Or Are Hiv Positive In Los Angeles County.,91106,http://egis3.lacounty.gov/lms/?p=4107,publish,34.14985049,-118.124649,2010/11/01 19:50:56+00,,6523956.68949872,1876937.20834422
6503179.69102661,1784747.21982436,3348,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,Homeless Shelter For Women And Children,4513 E. Compton Blvd.,,Compton,CA,"Monday through Thursday, 8:00am to 12:00 noon",,,www.cwroshelter.org,,,4150,"The Agency Provides Shelter For Homeless Single Women And Women With Children Who Are In Los Angeles County.  The Shelter May Assist Women Who Have Mental/Emotional Problems; The Shelter Is Also Accessible For Women Who Use Wheelchairs.",90221,http://egis3.lacounty.gov/lms/?p=4150,publish,33.89643599,-118.1927356,2010/11/01 19:50:56+00,,6503179.69102655,1784747.21982431
6520501.69279987,1884010.20961818,3349,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,Urdc Human Services Corporation - Casa Maria,691 E. Washington Blvd.,,Pasadena,CA,,,,www.urdchsc.org,,,4151,The Agency Provides Shelter For Homeless Women Age 18 And Older Who Have A History Of Substance Abuse And Who Are In Pasadena.,91104,http://egis3.lacounty.gov/lms/?p=4151,publish,34.16927385,-118.1360999,2010/11/01 19:50:56+00,,6520501.69279981,1884010.20961815
6412056.6902021,1832715.2095181,3350,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,Upward Bound - Family Place,1020 12Th St.,,Santa Monica,CA,,,,www.upwardboundhouse.org,,,4152,The Agency Provides Transitional Shelter For Homeless Families With Children In West Los Angeles County.  Services Are Restricted To Santa Monica And West Los Angeles Residents.,90403,http://egis3.lacounty.gov/lms/?p=4152,publish,34.02738892,-118.4937729,2010/11/01 19:50:56+00,,6412056.69020206,1832715.20951806
6630500.65980937,1841070.22135136,3351,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,Foothill Family Shelter,1501 W. 9Th St.,Ste. D,Upland,CA,"Monday through Sunday, 9:00am to 6:00pm.",,,www.foothillfamilyshelter.org,,,4153,The Agency Provides Transitional Shelter For Homeless Families With Children.  It Is Not An Emergency Shelter.,91786,http://egis3.lacounty.gov/lms/?p=4153,publish,34.05114328,-117.7727741,2010/11/01 19:50:56+00,,6630500.65980931,1841070.22135131
6481164.68059477,1843426.21204619,3352,Current Services Locator,,Social Services,Homeless Shelters and Services,,LA County,La Posada,375 S. Columbia Ave.,,Los Angeles,CA,Window Service Hours,,,www.neweconomicsforwomen.org,,,4154,The Agency Provides Transitional Shelter For Single Women With A Child Or Pregnant With Their First Child.,90017,http://egis3.lacounty.gov/lms/?p=4154,publish,34.05753854,-118.2657894,2010/11/01 19:50:56+00,,6481164.68059473,1843426.21204615
6502677.73960268,1743607.33524077,54020,211,,Social Services,Homeless Shelters and Services,,www.lbrm.org,Long Beach Rescue Mission,1335 Pacific Ave,,Long Beach,CA,"Monday through Sunday, 24 hours per day. ","Service/Intake and Administration (562) 591-1292, Long Beach Multi-Service Center Service/Intake (562) 733-1147,  FAX (562) 216-7667",,www.lbrm.org,,,56479,"The agency provides emergency food, shelter, clothing, counsel, spiritually-based adult rehabilitation transitional housing programs.",90813,http://egis3.lacounty.gov/lms/?p=56479,publish,33.78338881,-118.1941278,2013/06/01 11:50:56+00,,6502677.73960264,1743607.33524072
6413755.02473195,1827789.23347768,54054,211,,Social Services,Homeless Shelters and Services,,www.opcc.org,Ocean Park Community Center - Access Center,503 Olympic Blvd.,,Santa Monica,CA,"Monday, Wednesday, Thursday, and Friday, 9:00am to 5:00pm; Tuesday, 1:00pm to 5:00pm; and Saturday, 9:00am to 11:00am. ","Volunteer Coordinator Administrative (310) 450-4050 Ext.131, Shelter Referral Service/Intake (310) 450-4050",,www.opcc.org,,,56594,"The agency administers a variety of services including counseling, clothing, emergency food, homeless support services, shelter and volunteer opportunities for people who live in the Santa Monica and West Los Angeles areas.",90401,http://egis3.lacounty.gov/lms/?p=56594,publish,34.013876,-118.488089,2013/06/01 11:50:56+00,,6413755.02473189,1827789.23347764
6413450.97809595,1827709.9203161,54059,211,,Social Services,Homeless Shelters and Services,,www.opcc.org,Ocean Park Community Center - Samoshel,505 Olympic Blvd.,,Santa Monica,CA,"Monday through Sunday, 24 hours per day. ","Shelter Referral Service/Intake (310) 450-4050, Homeless Support Svcs Info Service/Intake (310) 581-9825",,www.opcc.org,,,56595,"The agency administers a variety of services including counseling, clothing, emergency food, homeless support services, shelter and volunteer opportunities for people who live in the Santa Monica and West Los Angeles areas.",90401,http://egis3.lacounty.gov/lms/?p=56595,publish,34.013654,-118.489091,2013/06/01 11:50:56+00,,6413450.97809589,1827709.92031606
6379979.39182402,1894710.77384694,54147,211,,Social Services,Homeless Shelters and Services,,NULL,Catholic Charities Of Los Angeles - Guadalupe Community Center,21600 Hart St.,,Canoga Park,CA,"Monday through Friday, 9:00am to 8:30pm. ","Service/Intake and Administration (818) 340-2050, Older Adults services Service/Intake (818) 340-5100",,,,,56642,"The agency is a community center which provides adult education, early childhood education, emergency food (through its Loaves and Fishes IV program), employment services for refugees, holiday assistance, youth recreation programs and senior programs for people in a specific area of the San Fernando Valley.",91303,http://egis3.lacounty.gov/lms/?p=56642,publish,34.197262,-118.600859,2013/06/01 11:50:56+00,,6379979.39182398,1894710.77384689
6483815.89674902,1799969.52008836,54294,211,,Social Services,Homeless Shelters and Services,,www.wlcac.org,Watts Labor Community Action Committee - Homeless Access Center,958 E 108Th St,,Los Angeles,CA,,Access Center and Shelter Service/Intake (323) 563-4721,,www.wlcac.org,,,56802,"The agency provides a homeless support services access center and shelter services, primarily for families who live in Los Angeles zip code 90059.",90059,http://egis3.lacounty.gov/lms/?p=56802,publish,33.93814532,-118.2566701,2013/06/01 11:50:56+00,,6483815.89674897,1799969.52008832
6494245.01204561,1841396.3161716,54298,211,,Social Services,Homeless Shelters and Services,,www.jovenesinc.org,Jovenes Inc - La Posada Shelter,1320 Pleasant Ave.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ",Service/Intake (323) 260-8035,,www.jovenesinc.org,,,56804,The agency provides a multipurpose center which offers a variety of services for people who are in the Los Angeles area.,90033,http://egis3.lacounty.gov/lms/?p=56804,publish,34.052048,-118.22259,2013/06/01 11:50:56+00,,6494245.01204555,1841396.31617156
6416687.54609786,1822028.76730835,54314,211,,Social Services,Homeless Shelters and Services,,www.stjosephctr.org,St. Joseph Center,204 Hampton Dr.,,Venice,CA,"Monday through Friday, 9:00am to 5:00pm. ","Homeless Service Center Information Only (310) 399-6878, MAP Program Service/Intake (310) 396-6556,  Service/Intake and Administration (310) 396-6468,  FAX (310) 392-8402, Culinary Training Service/Intake (310) 450-9095,  Service/Intake (310) 396-6468 Ext",,www.stjosephctr.org,,,56820,The agency provides a variety of emergency and ongoing programs to assist low-income and homeless individuals and families in the West Los Angeles area.,90291,http://egis3.lacounty.gov/lms/?p=56820,publish,33.998086,-118.478322,2013/06/01 11:50:56+00,,6416687.5460978,1822028.76730831
6420296.69111052,1823007.86771235,54318,211,,Social Services,Homeless Shelters and Services,,www.stjosephctr.org,St. Joseph Center - Homeless Service Center,404 S. Lincoln Blvd.,,Venice,CA,,Homeless Program Service/Intake (310) 399-6878,,www.stjosephctr.org,,,56823,The agency provides a variety of emergency and ongoing programs to assist low-income and homeless individuals and families in the West Los Angeles area.,90291,http://egis3.lacounty.gov/lms/?p=56823,publish,34.000823,-118.46643,2013/06/01 11:50:56+00,,6420296.69111048,1823007.8677123
6473059.89627944,1726079.99529552,54401,211,,Social Services,Homeless Shelters and Services,,www.harborinterfaith.org,Harbor Interfaith Family Shelter Program,663 W. 10th St.,,San Pedro,CA,"Monday through Sunday, 24 hours per day. ",Shelter Service/Intake (310) 831-0589,,www.harborinterfaith.org,,,56892,"The agency provides advocacy services, emergency food, employment services, information and referral and shelter for people who live in the South Bay area.",90731,http://egis3.lacounty.gov/lms/?p=56892,publish,33.735031,-118.291424,2013/06/01 11:50:56+00,,6473059.89627938,1726079.99529548
6477197.62028745,1818997.62179585,54424,211,,Social Services,Homeless Shelters and Services,,Homeless Outreach Program/Integrated Care System (HOPICS),Homeless Outreach Program/Integrated Care System (HOPICS),5715 S. Broadway,,Los Angeles,CA,"Monday through Friday, 8:00am to 4:30pm","Service/Intake (323) 948-0444,  Service/Intake (323) 948-0444,  FAX (323) 948-0443",,www.ssgmain.org/,,,56896,"The agency provides advocacy, child care, HIV/AIDS services, holiday assistance, interpreter and translator services, personal goods, services for non-profit organizations, services for older adults, substance abuse services, and youth services in Los Angeles County.",90037,http://egis3.lacounty.gov/lms/?p=56896,publish,33.990383,-118.278663,2013/05/28 17:36:57+00,Active,6477197.62028739,1818997.62179582
6464389.49432895,1813342.48940535,54500,211,,Social Services,Homeless Shelters and Services,,,"California Council For Veterans' Affairs, Inc.",2501 W. Florence Ave.,,Los Angeles,CA,"Monday through Friday, 10:00am to 6:00pm","FAX (323) 750-8034,  Service/Intake (323) 750-9967",,,,,56928,"The agency provides advocacy, education services, employment services, shelter and support services for homeless female veterans and their families.  Services are targeted, but not restricted to people who live in South Central Los Angeles.",90043,http://egis3.lacounty.gov/lms/?p=56928,publish,33.97473866,-118.3208553,2017/02/22 09:57:57+00,,6464389.49432889,1813342.4894053
6411758.31973585,1826767.26833002,54505,211,,Social Services,Homeless Shelters and Services,,www.opcc.net,Daybreak Center,1614 Ocean Ave.,,Santa Monica,CA,,"Service/Intake (310) 393-4344, Volunteer Coordinator Service/Intake (310) 393-6045",,www.opcc.net,,,56930,"The agency provides advocacy, emergency food, holiday assistance, homeless support services, mental health services for mentally ill women, shelter and volunteer opportunities primarily in West Los Angeles and Santa Monica area.",90401,http://egis3.lacounty.gov/lms/?p=56930,publish,34.011041,-118.494661,2013/06/01 11:50:56+00,,6411758.31973581,1826767.26832998
6516689.31164511,1872907.04875368,54570,211,,Social Services,Homeless Shelters and Services,,www.unionstationhs.org,Union Station - Adult Center,412 Raymond Ave.,,Pasadena,CA,"Monday through Sunday, 24 hours per day. ",Service/Intake and Administration (626) 240-4550,,www.unionstationhs.org,,,56960,"The agency provides alcohol abuse services, emergency food, holiday assistance, homeless support services, information and referral, mental health services, personal enrichment and shelter for low-income and homeless people in the Pasadena area.",91105,http://egis3.lacounty.gov/lms/?p=56960,publish,34.138749,-118.148649,2013/06/01 11:50:56+00,,6516689.31164506,1872907.04875365
6521305.65575886,1879891.81234318,54572,211,,Social Services,Homeless Shelters and Services,,www.unionstationhs.org,Union Station Family Center,825 E. Orange Grove Blvd.,,Pasadena,CA,"Monday through Sunday, 24 hours per day. ",Service/Intake and Administration (626) 240-4550,,www.unionstationhs.org,,,56961,"The agency provides alcohol abuse services, emergency food, holiday assistance, homeless support services, information and referral, mental health services, personal enrichment and shelter for low-income and homeless people in the Pasadena area.",91104,http://egis3.lacounty.gov/lms/?p=56961,publish,34.15796,-118.133424,2013/06/01 11:50:56+00,,6521305.6557588,1879891.81234315
6517244.33973452,1869115.49859402,54573,211,,Social Services,Homeless Shelters and Services,,www.unionstationhs.org,Union Station's Shelter Intake - Passageways,1020 S Arroyo Pkwy,,Pasadena,CA,,Shelter Intake/Referral Service/Intake (626) 403-4888,,www.unionstationhs.org,,,56962,"The agency provides alcohol abuse services, emergency food, holiday assistance, homeless support services, information and referral, mental health services, personal enrichment and shelter for low-income and homeless people in the Pasadena area.",91105,http://egis3.lacounty.gov/lms/?p=56962,publish,34.12833257,-118.1467965,2013/06/01 11:50:56+00,,6517244.33973446,1869115.49859397
6494091.60487211,1839425.66361685,54620,211,,Social Services,Homeless Shelters and Services,,www.proyectopastoral.org,Guadalupe Homeless Project/Cem,171 S. Gless St.,,Los Angeles,CA,"Monday through Sunday, 2:00pm to 5:00am. ","Men's Shelter Service/Intake (323) 881-0031, Community in Action/CEM Service/Intake (323) 881-0032",,www.proyectopastoral.org,,,57005,"The agency provides business services, child care, community services, homeless support services, shelter for homeless, volunteer opportunities and youth services to low-income people in the Spanish-speaking community of East Los Angeles.",90033,http://egis3.lacounty.gov/lms/?p=57005,publish,34.046632,-118.223082,2013/06/01 11:50:56+00,,6494091.60487205,1839425.66361681
6492642.71210061,1840243.73153453,54624,211,,Social Services,Homeless Shelters and Services,,www.proyectopastoral.org,Proyecto Pastoral At Dolores Mission,135 N. Mission Rd.,,Los Angeles,CA,,"Thrift Store Service/Intake (323) 881-0017, Community In Action/CEM Service/Intake (323) 881-0019,  Service/Intake and Administration (323) 881-0018,  FAX (323) 268-7228",,www.proyectopastoral.org,,,57006,"The agency provides business services, child care, community services, homeless support services, shelter for homeless, volunteer opportunities and youth services to low-income people in the Spanish-speaking community of East Los Angeles.",90033,http://egis3.lacounty.gov/lms/?p=57006,publish,34.048871,-118.227871,2013/06/01 11:50:56+00,,6492642.71210055,1840243.73153448
6470481.99723577,1858277.1702051,54713,211,,Social Services,Homeless Shelters and Services,,NULL,Hope Again,5121 Sunset Blvd.,,Los Angeles,CA,,"FAX (323) 661-6172,  Service/Intake and Administration (323) 661-4004",,,,,57051,The agency provides case management and shelter for people in Los Angeles County.,90027,http://egis3.lacounty.gov/lms/?p=57051,publish,34.098264,-118.301205,2013/06/01 11:50:56+00,,6470481.99723572,1858277.17020506
6419819.93254961,1907148.66006035,54871,211,,Social Services,Homeless Shelters and Services,,www.nvcsinc.org,North Valley Caring Services Inc,15453 Rayen St.,,North Hills,CA,"Monday through Friday, 8:00am to 5:00pm. ","Service/Intake (818) 891-0481,  FAX (818) 830-2007",,www.nvcsinc.org,,,57148,"The agency provides education services, emergency food, holiday assistance, homeless support services and recreational programs for people who live in North Hills.",91343,http://egis3.lacounty.gov/lms/?p=57148,publish,34.232022,-118.469299,2013/06/01 11:50:56+00,,6419819.93254955,1907148.66006032
